Player,Team,PAT,FG,1-19,20-29,30-39,40-49,50+,Lg,Pts,,,,,,,,,,
Dean Janikowski,WSU,39/41,14/17,0/0,5/5,7/8,2/4,0/0,41,81,,,,,,,,,,
Casey Legg,WVU,35/35,19/23,0/0,8/8,7/8,4/7,0/0,49,92,,,,,,,,,,
John Hoyland,WYO,33/33,9/13,0/0,7/7,2/2,0/2,0/2,37,60,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
