,Player,Team,Lg,Pts,PATM,PATA,FGM,FGA,1-19M,1-19A,20-29M,20-29A,30-39M,30-39A,40-49M,40-49A,50+M,50+A,PATAV,1-19AV,20-29AV,30-39AV,40-49AV,50+AV,Total Added Value
51,Zeke Rankin,MTSU,46.0,74.0,44.0,45.0,10,14,0,0,7,7,2,4,1,3,0,0,-0.00999999999999801,0.0,1.4699999999999989,-3.676,-3.0570000000000004,0.0,-5.273
93,Nicholas Barr-Mira,UCLA,48.0,94.0,52.0,54.0,14,21,0,0,5,5,3,4,6,10,0,2,-0.8119999999999976,0.0,1.0500000000000007,-0.6760000000000002,-2.1900000000000013,-2.722,-5.349999999999998
50,Matt Coghlin,MSU,51.0,72.0,39.0,39.0,11,17,0,0,7,7,2,4,1,3,1,3,0.8580000000000041,0.0,1.4699999999999989,-3.676,-3.0570000000000004,-1.0830000000000002,-5.487999999999998
38,Jacob Borcila,KAN,50.0,53.0,26.0,27.0,9,15,0,0,2,2,2,5,4,6,1,2,-0.4059999999999988,0.0,0.41999999999999993,-6.095000000000001,-0.11400000000000077,0.278,-5.917
70,Valentino Ambrosio,RUTG,40.0,62.0,29.0,30.0,11,15,0,0,7,9,3,4,1,2,0,0,-0.33999999999999986,0.0,-4.109999999999999,-0.6760000000000002,-1.0380000000000003,0.0,-6.164
77,Andre Szmyt,SYR,48.0,63.0,36.0,38.0,9,14,0,1,4,4,2,2,3,6,0,1,-1.1640000000000015,-2.812,0.8399999999999999,1.162,-3.1140000000000008,-1.361,-6.4490000000000025
33,Dalton Witherspoon,HOU,50.0,102.0,57.0,58.0,15,23,1,1,5,5,5,7,3,8,1,2,0.27600000000000335,0.18800000000000017,1.0500000000000007,-1.9329999999999998,-7.152000000000001,0.278,-7.292999999999996
78,Rory Bell,TEMP,55.0,50.0,23.0,23.0,9,16,0,0,1,1,5,6,2,8,1,1,0.5060000000000002,0.0,0.20999999999999996,0.48600000000000065,-10.152000000000001,1.639,-7.310999999999999
80,Merek Glover,TUL,41.0,51.0,33.0,33.0,6,11,0,0,2,4,1,2,3,5,0,0,0.7259999999999991,0.0,-5.16,-1.838,-1.0950000000000006,0.0,-7.367000000000002
104,Connor Coles,USU,52.0,106.0,49.0,51.0,19,28,0,0,7,8,6,7,5,10,1,3,-0.8780000000000001,0.0,-1.3200000000000003,1.0670000000000002,-5.190000000000001,-1.0830000000000002,-7.404000000000002
92,Daniel Obarski,UCF,40.0,66.0,51.0,52.0,5,10,0,0,2,2,2,3,1,5,0,0,0.14399999999999835,0.0,0.41999999999999993,-1.2569999999999997,-7.095000000000001,0.0,-7.788000000000002
26,Chase Gabriel,FIU,53.0,52.0,28.0,31.0,8,13,1,1,4,5,0,2,2,4,1,1,-2.317999999999998,0.18800000000000017,-1.9499999999999993,-4.838,-2.0760000000000005,1.639,-9.354999999999997
62,Stephen Johnson,OHIO,44.0,72.0,24.0,26.0,16,23,1,1,9,10,4,6,2,5,0,1,-1.4280000000000008,0.18800000000000017,-0.8999999999999986,-2.5139999999999993,-4.095000000000001,-1.361,-10.11
86,Thomas Cluckey,TOL,50.0,89.0,47.0,47.0,14,24,0,0,5,5,5,8,3,8,1,3,1.033999999999999,0.0,1.0500000000000007,-4.352,-7.152000000000001,-1.0830000000000002,-10.503000000000002
97,Joseph Petrino,UMD,48.0,67.0,34.0,38.0,11,18,0,0,3,3,4,6,4,8,0,1,-3.1640000000000015,0.0,0.629999999999999,-2.5139999999999993,-4.152000000000001,-1.361,-10.561000000000003
53,Connor Culp,NEB,51.0,46.0,28.0,32.0,6,12,0,0,3,4,1,4,0,1,2,3,-3.2959999999999994,0.0,-2.16,-6.676,-2.019,1.9169999999999998,-12.234
52,Charlie Kuhbander,NU,47.0,39.0,21.0,21.0,6,13,0,0,4,5,1,5,1,3,0,0,0.46199999999999974,0.0,-1.9499999999999993,-9.095,-3.0570000000000004,0.0,-13.64
